,metric,partition,value,iteration
9,perc_lenght_80pct,test,9.167854462287963,60
10,perc_lenght_80pct,train,90.07226682223852,60
11,perc_lenght_80pct,valid,456.5690358981215,60
12,abs_lenght_80pct,test,9507.239995140568,60
13,abs_lenght_80pct,train,9457.41079798973,60
14,abs_lenght_80pct,valid,9641.587681446692,60
15,confidence_error,test,0.16882887366013505,60
16,confidence_error,train,0.19409704723297558,60
17,confidence_error,valid,0.09097850779346986,60
18,elbo,train,148701.4142780304,60
0,MAPE,test,2.8952102514608735,70
1,MAPE,train,28.60863971260753,70
2,MAPE,valid,77.08162329428843,70
3,MAE,test,2609.665344041976,70
4,MAE,train,2463.580894226226,70
5,MAE,valid,3116.75114862568,70
6,emp_coverage_80pct,test,0.8312570781426953,70
7,emp_coverage_80pct,train,0.8479681274900398,70
8,emp_coverage_80pct,valid,0.7933177933177933,70
9,perc_lenght_80pct,test,8.386875099715418,70
10,perc_lenght_80pct,train,82.43135417559652,70
11,perc_lenght_80pct,valid,477.800229361401,70
12,abs_lenght_80pct,test,9142.087703483521,70
13,abs_lenght_80pct,train,9109.999879408573,70
14,abs_lenght_80pct,valid,9324.651715305725,70
15,confidence_error,test,0.09429225645788394,70
16,confidence_error,train,0.10989201626812199,70
17,confidence_error,valid,0.02829868502731477,70
18,elbo,train,108934.97857379913,70
0,MAPE,test,3.5599299865869076,80
1,MAPE,train,34.11219058195935,80
2,MAPE,valid,103.58992150180683,80
3,MAE,test,2675.7499827027927,80
4,MAE,train,2547.490071324087,80
5,MAE,valid,3105.673157597611,80
6,emp_coverage_80pct,test,0.82559456398641,80
7,emp_coverage_80pct,train,0.8403187250996016,80
8,emp_coverage_80pct,valid,0.7692307692307693,80
9,perc_lenght_80pct,test,7.737802055531187,80
10,perc_lenght_80pct,train,81.98788451457854,80
11,perc_lenght_80pct,valid,441.59803177955274,80
12,abs_lenght_80pct,test,8830.498656392085,80
13,abs_lenght_80pct,train,8814.053016919264,80
14,abs_lenght_80pct,valid,8976.358861825714,80
15,confidence_error,test,0.05617755177320888,80
16,confidence_error,train,0.061871118063356725,80
17,confidence_error,valid,0.07028079856651287,80
18,elbo,train,106604.089427948,80
0,MAPE,test,2.042987219498787,90
1,MAPE,train,26.021001516466246,90
2,MAPE,valid,91.2196605956973,90
3,MAE,test,2512.0327363436118,90
4,MAE,train,2404.8741523842195,90
5,MAE,valid,2797.8889936322366,90
6,emp_coverage_80pct,test,0.8663646659116648,90
7,emp_coverage_80pct,train,0.8769721115537848,90
8,emp_coverage_80pct,valid,0.8515928515928516,90
9,perc_lenght_80pct,test,9.081898377641648,90
10,perc_lenght_80pct,train,86.28885266952064,90
11,perc_lenght_80pct,valid,405.6027913013561,90
12,abs_lenght_80pct,test,9346.411980262576,90
13,abs_lenght_80pct,train,9313.226422305444,90
14,abs_lenght_80pct,valid,9575.133972905332,90
15,confidence_error,test,0.15016841649878798,90
16,confidence_error,train,0.16198493319018803,90
17,confidence_error,valid,0.05902017970626716,90
18,elbo,train,117484.31661272049,90
0,MAPE,test,1.2011703071290534,100
1,MAPE,train,24.082224824271986,100
2,MAPE,valid,85.48608815057419,100
3,MAE,test,2505.7225741656666,100
4,MAE,train,2367.924857958796,100
5,MAE,valid,2871.0802541338853,100
6,emp_coverage_80pct,test,0.8437146092865232,100
7,emp_coverage_80pct,train,0.857211155378486,100
8,emp_coverage_80pct,valid,0.8212898212898213,100
9,perc_lenght_80pct,test,10.452915929683147,100
10,perc_lenght_80pct,train,84.05570870199247,100
11,perc_lenght_80pct,valid,400.99033040454566,100
