,metric,partition,value,iteration
11,confidence_error,valid,0.2520476120273269,3
12,elbo,train,10432.114903450012,3
0,coverage_80pct,test,0.9029850746268657,4
1,coverage_80pct,train,0.9233644859813084,4
2,coverage_80pct,valid,0.8582089552238806,4
3,diameter_80pct,test,1.5312954928299052,4
4,diameter_80pct,train,1.5052710826921487,4
5,diameter_80pct,valid,1.5134374510502744,4
6,mape,test,0.2775805575354571,4
7,mape,train,0.21913981860497492,4
8,mape,valid,0.2761406706608451,4
9,confidence_error,test,0.39266710057376597,4
10,confidence_error,train,0.46185877739415443,4
11,confidence_error,valid,0.36623668665419246,4
12,elbo,train,10408.991598129272,4
0,coverage_80pct,test,0.8955223880597015,5
1,coverage_80pct,train,0.9252336448598131,5
2,coverage_80pct,valid,0.8582089552238806,5
3,diameter_80pct,test,1.611946798334834,5
4,diameter_80pct,train,1.5661967665570058,5
5,diameter_80pct,valid,1.5653737399432142,5
6,mape,test,0.292823965963004,5
7,mape,train,0.22985461749349637,5
8,mape,valid,0.2885301919319612,5
9,confidence_error,test,0.3878749361895232,5
10,confidence_error,train,0.46730662898247227,5
11,confidence_error,valid,0.35768422488142376,5
12,elbo,train,10354.628222465515,5
0,coverage_80pct,test,0.8955223880597015,6
1,coverage_80pct,train,0.9261682242990654,6
2,coverage_80pct,valid,0.8582089552238806,6
3,diameter_80pct,test,1.4916763194533362,6
4,diameter_80pct,train,1.4928672923770314,6
5,diameter_80pct,valid,1.505475808968297,6
6,mape,test,0.2896726532920762,6
7,mape,train,0.22816785231759282,6
8,mape,valid,0.28650302435081415,6
9,confidence_error,test,0.33893250548589826,6
10,confidence_error,train,0.42793857903443655,6
11,confidence_error,valid,0.32094213898437846,6
12,elbo,train,10473.633810043335,6
0,coverage_80pct,test,0.8880597014925373,7
1,coverage_80pct,train,0.9214953271028037,7
2,coverage_80pct,valid,0.8582089552238806,7
3,diameter_80pct,test,1.4496192641494654,7
4,diameter_80pct,train,1.4509340205247492,7
5,diameter_80pct,valid,1.4589162477416804,7
6,mape,test,0.29340599391960237,7
7,mape,train,0.23065233177086228,7
8,mape,valid,0.289088958150929,7
9,confidence_error,test,0.3494201692081036,7
10,confidence_error,train,0.4171457886472537,7
11,confidence_error,valid,0.3233333263130413,7
12,elbo,train,10332.689126491547,7
0,coverage_80pct,test,0.8955223880597015,8
1,coverage_80pct,train,0.9177570093457944,8
2,coverage_80pct,valid,0.8582089552238806,8
3,diameter_80pct,test,1.4286133502553195,8
4,diameter_80pct,train,1.4080054723531163,8
5,diameter_80pct,valid,1.4015569137749622,8
6,mape,test,0.30234414712546537,8
7,mape,train,0.23957167606924334,8
8,mape,valid,0.2943061847531827,8
9,confidence_error,test,0.2736308083074838,8
10,confidence_error,train,0.34068644969580414,8
11,confidence_error,valid,0.2518956169009182,8
12,elbo,train,10451.20104598999,8
0,coverage_80pct,test,0.9104477611940298,9
1,coverage_80pct,train,0.9280373831775701,9
2,coverage_80pct,valid,0.8582089552238806,9
3,diameter_80pct,test,1.5731468720019404,9
