,metric,partition,value,iteration
8,emp_coverage_80pct,valid,0.8656716417910447,6
9,perc_lenght_80pct,test,1.7023152007237004,6
10,perc_lenght_80pct,train,1.6000498426587881,6
11,perc_lenght_80pct,valid,1.6262405773935333,6
12,abs_lenght_80pct,test,15039.510320647165,6
13,abs_lenght_80pct,train,14834.40761515952,6
14,abs_lenght_80pct,valid,15055.90272864302,6
15,confidence_error,test,0.3159812413981735,6
16,confidence_error,train,0.35238904632415624,6
17,confidence_error,valid,0.26658409090739543,6
18,elbo,train,10374.366580963135,6
0,MAPE,test,0.34403706056271294,7
1,MAPE,train,0.2890873301437372,7
2,MAPE,valid,0.3281828086891242,7
3,MAE,test,3171.0445292123363,7
4,MAE,train,2607.59049031675,7
5,MAE,valid,3449.2083594024007,7
6,emp_coverage_80pct,test,0.9253731343283582,7
7,emp_coverage_80pct,train,0.9317757009345794,7
8,emp_coverage_80pct,valid,0.8656716417910447,7
9,perc_lenght_80pct,test,1.7995067106735214,7
10,perc_lenght_80pct,train,1.694403407922345,7
11,perc_lenght_80pct,valid,1.7282876427869867,7
12,abs_lenght_80pct,test,16510.641862654564,7
13,abs_lenght_80pct,train,16154.471471783707,7
14,abs_lenght_80pct,valid,16514.472164638857,7
15,confidence_error,test,0.39573794806890145,7
16,confidence_error,train,0.4510469521032902,7
17,confidence_error,valid,0.3791802690172627,7
18,elbo,train,10403.589044570923,7
0,MAPE,test,0.28615254006179236,8
1,MAPE,train,0.2379573499638485,8
2,MAPE,valid,0.26849397781842466,8
3,MAE,test,2952.004556267491,8
4,MAE,train,2356.0258399863583,8
5,MAE,valid,3203.7760830060624,8
6,emp_coverage_80pct,test,0.917910447761194,8
7,emp_coverage_80pct,train,0.9336448598130841,8
8,emp_coverage_80pct,valid,0.8656716417910447,8
9,perc_lenght_80pct,test,1.6790234070065142,8
10,perc_lenght_80pct,train,1.599467605894338,8
11,perc_lenght_80pct,valid,1.596638374048264,8
12,abs_lenght_80pct,test,15214.582226717299,8
13,abs_lenght_80pct,train,15263.341070110586,8
14,abs_lenght_80pct,valid,15419.652560607314,8
15,confidence_error,test,0.4258737177917161,8
16,confidence_error,train,0.47661082774700575,8
17,confidence_error,valid,0.3888896432456625,8
18,elbo,train,10451.71933555603,8
0,MAPE,test,0.3083809399639068,9
1,MAPE,train,0.26797225518098017,9
2,MAPE,valid,0.2980183805737584,9
3,MAE,test,3131.935026845266,9
4,MAE,train,2577.976897160718,9
5,MAE,valid,3361.2113468732496,9
6,emp_coverage_80pct,test,0.9253731343283582,9
7,emp_coverage_80pct,train,0.930841121495327,9
8,emp_coverage_80pct,valid,0.8507462686567164,9
9,perc_lenght_80pct,test,1.7291822786220414,9
10,perc_lenght_80pct,train,1.6596883125531008,9
11,perc_lenght_80pct,valid,1.6545118929280236,9
12,abs_lenght_80pct,test,15306.035115659723,9
13,abs_lenght_80pct,train,15356.7970016968,9
14,abs_lenght_80pct,valid,15557.834842777162,9
15,confidence_error,test,0.39167481434974233,9
16,confidence_error,train,0.42184740985648517,9
17,confidence_error,valid,0.36376971269433744,9
18,elbo,train,10389.70583820343,9
0,MAPE,test,0.39928200741595465,10
1,MAPE,train,0.3562758489938469,10
2,MAPE,valid,0.3934817094885223,10
3,MAE,test,3450.3786468196126,10
4,MAE,train,3005.7152158436925,10
5,MAE,valid,3864.3642658739495,10
6,emp_coverage_80pct,test,0.9104477611940298,10
7,emp_coverage_80pct,train,0.9317757009345794,10
8,emp_coverage_80pct,valid,0.8656716417910447,10
9,perc_lenght_80pct,test,1.7268635484831523,10
10,perc_lenght_80pct,train,1.6489070230777838,10
11,perc_lenght_80pct,valid,1.65873939907394,10
12,abs_lenght_80pct,test,15005.811243773785,10
13,abs_lenght_80pct,train,15168.27041977497,10
14,abs_lenght_80pct,valid,15461.05465440617,10
15,confidence_error,test,0.21130417067515403,10
16,confidence_error,train,0.2406212973722009,10
17,confidence_error,valid,0.1918963658674557,10
18,elbo,train,10538.451053142548,10
0,MAPE,test,0.35033552163958087,11
1,MAPE,train,0.291376060164904,11
2,MAPE,valid,0.33136902054002376,11
3,MAE,test,3072.196977253382,11
4,MAE,train,2525.8317015032267,11
5,MAE,valid,3377.283651878497,11
6,emp_coverage_80pct,test,0.9253731343283582,11
7,emp_coverage_80pct,train,0.9317757009345794,11
8,emp_coverage_80pct,valid,0.8582089552238806,11
9,perc_lenght_80pct,test,1.5979679344658446,11
10,perc_lenght_80pct,train,1.5463464024921256,11
11,perc_lenght_80pct,valid,1.535359417135455,11
12,abs_lenght_80pct,test,15435.695991695917,11
13,abs_lenght_80pct,train,15289.628501666197,11
14,abs_lenght_80pct,valid,15407.568005089955,11
15,confidence_error,test,0.35732391578135975,11
16,confidence_error,train,0.4153755426049116,11
17,confidence_error,valid,0.33645132463463606,11
18,elbo,train,10377.031615257263,11
0,MAPE,test,0.3082551982382232,12
